subjectID,calib_point_X,calib_point_Y,L_sample_valid,L_sample_X,L_sample_Y,R_sample_valid,R_sample_X,R_sample_Y
whatever2,0.5,0.5,1,0.492707461118698,0.531456589698792,1,0.493054002523422,0.529586374759674
whatever2,0.5,0.5,1,0.493596613407135,0.530478358268738,1,0.48972749710083,0.523638546466827
whatever2,0.5,0.5,1,0.494049102067947,0.523032903671265,1,0.497446924448013,0.539165437221527
whatever2,0.5,0.5,1,0.499000459909439,0.540609300136566,1,0.494923949241638,0.528576970100403
whatever2,0.5,0.5,1,0.501899361610413,0.534227252006531,1,0.49861866235733,0.529404878616333
whatever2,0.5,0.5,1,0.496075183153152,0.536062061786652,1,0.496187299489975,0.52053302526474
whatever2,0.5,0.5,1,0.494726687669754,0.527309596538544,1,0.498244434595108,0.52955836057663
whatever2,0.5,0.5,1,0.499906808137894,0.541118264198303,1,0.490169167518616,0.531372666358948
whatever2,0.5,0.5,1,0.500637233257294,0.537055313587189,1,0.488897353410721,0.526380896568298
whatever2,0.5,0.5,1,0.499582856893539,0.5385422706604,1,0.495569437742233,0.527018249034882
whatever2,0.5,0.5,1,0.500835061073303,0.52740204334259,1,0.491227507591248,0.524068117141724
whatever2,0.5,0.5,1,0.497258454561234,0.529396831989288,1,0.491213083267212,0.530913770198822
whatever2,0.5,0.5,1,0.492409855127335,0.538593649864197,1,0.493737369775772,0.519794225692749
whatever2,0.5,0.5,1,0.496949046850204,0.527947008609772,1,0.499394297599792,0.517497837543488
whatever2,0.5,0.5,1,0.49272346496582,0.530946314334869,1,0.489747792482376,0.520781695842743
whatever2,0.5,0.5,1,0.496278673410416,0.526150822639465,1,0.493448376655579,0.51599133014679
whatever2,0.899999976158142,0.899999976158142,1,0.902130663394928,0.88877922296524,1,0.911606431007385,0.872021019458771
whatever2,0.899999976158142,0.899999976158142,1,0.889214277267456,0.899565041065216,1,0.897764682769775,0.883865714073181
whatever2,0.899999976158142,0.899999976158142,1,0.917536854743958,0.897785246372223,1,0.906170070171356,0.873959541320801
whatever2,0.899999976158142,0.899999976158142,1,0.899674355983734,0.89107882976532,1,0.901088953018188,0.86812561750412
whatever2,0.899999976158142,0.899999976158142,1,0.903761446475983,0.891914188861847,1,0.906008958816528,0.87755936384201
whatever2,0.899999976158142,0.899999976158142,1,0.888540804386139,0.897885262966156,1,0.895729959011078,0.872354686260223
whatever2,0.899999976158142,0.899999976158142,1,0.920322895050049,0.896484732627869,1,0.911987841129303,0.875668227672577
whatever2,0.899999976158142,0.899999976158142,1,0.897837936878204,0.898691475391388,1,0.907237529754639,0.875047624111176
whatever2,0.899999976158142,0.899999976158142,1,0.899082243442535,0.889469027519226,1,0.905818998813629,0.876960813999176
whatever2,0.899999976158142,0.899999976158142,1,0.890620768070221,0.89044201374054,1,0.902489602565765,0.884104669094086
whatever2,0.899999976158142,0.899999976158142,1,0.891642868518829,0.89425653219223,1,0.90580540895462,0.878149807453156
